"Lance.code","Lon","Lat"
"1722_3",-80.10165,-6.87718333333333
"1722_4",-80.08615,-6.88028333333333
"1722_5",-80.0805666666667,-6.89845
"1723_1",-79.9693333333333,-7.02791666666667
"1723_2",-79.9284666666667,-6.97718333333333
"1723_3",-80.2338833333333,-6.76611666666667
"1723_4",-80.419,-6.74111666666667
"1723_5",-80.2521666666667,-6.86433333333333
"1724_1",-80.10295,-6.83378333333333
"1724_2",-80.3222333333333,-6.78878333333333
"1724_3",-80.3037833333333,-6.67306666666667
"1724_4",-80.2263666666667,-6.70525
"1724_5",-80.2415333333333,-6.70336666666667
"1725_1",-80.0915833333333,-6.85276666666667
"1725_2",-80.30505,-6.84738333333333
"1725_3",-80.3294833333333,-6.85536666666667
"1725_4",-80.3209333333333,-6.87101666666667
"1725_5",-80.422,-6.75476666666667
"1725_6",-80.3858833333333,-6.61268333333333
"1725_7",-80.3677833333333,-6.65353333333333
"1725_8",-80.1558,-6.65313333333333
"1726_1",-80.1906666666667,-6.70553333333333
"1726_2",-80.24975,-6.66253333333333
"1726_3",-80.4054833333333,-6.52936666666667
"1726_4",-80.64115,-6.4453
"1726_5",-80.755,-6.35281666666667
"1726_6",-80.99365,-6.24745
"1727_1",-80.9207666666667,-6.29866666666667
"1727_2",-80.8700333333333,-6.3786
"1727_3",-80.7908166666667,-6.47175
"1727_4",-80.7816166666667,-6.49245
"1727_5",-80.5413666666667,-6.6021
"1727_6",-80.5045166666667,-6.60625
"1727_7",-80.5182,-6.66271666666667
"1727_8",-80.5426,-6.67318333333333
"1728_1",-80.47875,-6.69928333333333
"1728_2",-80.62045,-6.63601666666667
"1728_3",-80.62275,-6.41593333333333
"1728_4",-80.6849,-6.40285
"1728_5",-80.61645,-6.39
"1728_6",-80.7366833333333,-6.35955
"1728_7",-80.7431333333333,-6.34573333333333
"1728_8",-80.5546833333333,-6.51565
"1728_9",-80.52745,-6.52745
"1728_10",-80.7347,-6.34791666666667
"1729_1",-80.1423666666667,-6.75223333333333
"1729_2",-80.13535,-6.70565
"1729_3",-80.2871166666667,-7.05858333333333
"1729_4",-80.6027,-6.9007
"1729_5",-80.456,-7.01836666666667
"1729_6",-80.4752833333333,-7.01673333333333
"1729_7",-80.0183333333333,-6.89308333333333
"1730_1",-80.7500333333333,-3.44998333333333
"1730_2",-80.7635833333333,-3.46083333333333
"1730_3",-80.7114166666667,-3.41795
"1730_4",-80.6464166666667,-3.34233333333333
"1731_1",-80.6786666666667,-3.40003333333333
"1731_2",-80.70835,-3.39483333333333
"1731_3",-80.692,-3.40983333333333
"1732_1",-81.3513333333333,-3.96833333333333
"1732_2",-81.125,-3.7425
"1732_3",-80.9985,-3.63676666666667
"1732_4",-80.9945833333333,-3.61666666666667
"1732_5",-80.7432333333333,-3.3491
"1733_1",-80.9933166666667,-5.72566666666667
"1733_2",-81.0000333333333,-5.68018333333333
"1734_1",-81.0225833333333,-6.2242
"1734_2",-81.0272,-6.23213333333333
"1734_3",-80.9920333333333,-6.24075
"1734_4",-81.1473333333333,-5.65505
"1735_1",-80.44635,-6.50205
"1735_2",-80.6679333333333,-6.40126666666667
"1735_3",-80.7861666666667,-6.4762
"1735_4",-80.8172333333333,-6.43906666666667
"1735_5",-81.06275,-6.14818333333333
"1735_6",-81.0963666666667,-6.1419
"1736_1",-80.6908333333333,-6.39166666666667
"1736_2",-80.6018166666667,-6.74055
"1736_3",-80.5745,-6.7233
