"Lance.code","Km.day"
"295_1",NA
"310_1",0.0796970691163604
"310_2",0.0827045056867891
"310_3",0.183203011081947
"310_4",0.0902230971128608
"310_5",0.0804489282589675
"310_6",0.134833406240886
"321_1",0.409079724409448
"321_2",0.421041119860018
"321_3",0.275112095363079
"321_4",0.315302384076989
"321_5",0.271284448818897
"326_1",0.360436716243802
"326_2",0.423775153105862
"326_3",0.411927675707204
"326_4",0.415117381160687
"326_5",0.452938174394868
"326_6",0.462507290755323
"326_7",0.388688393117528
"326_8",0.487569262175561
"326_9",0.528579760863225
"326_10",0.464785651793526
"326_11",0.489391951006124
"332_1",0.215305118110236
"332_2",0.57978592519685
"332_3",0.54338910761155
"333_1",0.280785214348208
"333_2",0.280238407699038
"333_3",0.277504374453194
"333_4",0.274223534558181
"333_5",0.251257655293089
"333_6",0.258366141732284
"333_7",0.325896762904638
"333_8",0.249617235345583
"333_9",0.261373578302712
"339_1",0.2563156167979
"339_2",0.204368985126859
"339_3",0.212571084864392
"339_4",0.246518664333624
"339_5",0.202546296296297
"339_6",0.244240303295422
"339_7",0.197533902012248
"341_1",0.498353504423057
"341_2",0.658446340040828
"341_3",0.511264216972878
"341_4",0.437931369689899
"341_5",0.43586565568193
"347_1",0.559027777777779
"347_2",0.693055555555554
"350_1",0.357247010790318
"350_2",0.127588218139399
"350_3",0.331729367162438
"353_1",0.359586128122873
"353_2",0.0969670457859434
"353_3",0.315142898804316
"353_4",0.351505540974045
"356_1",0.0861220472440944
"356_2",0.488024934383202
"356_3",0.492809492563429
"356_4",0.277504374453193
"357_1",0.287073490813648
"357_2",0.306211723534558
"357_3",0.282288932633421
"357_4",0.280694079906679
"357_5",0.277504374453193
"358_1",0.517263901040146
"358_2",0.621460945853992
"358_3",0.772546660834062
"358_4",0.606575653737725
"358_5",0.71598255079226
"358_6",NA
"358_7",NA
"358_8",0.651231530086515
"360_1",0.529718941382327
"360_2",0.56389435695538
"360_3",0.56389435695538
"360_4",0.546806649168853
"360_5",0.586677967337417
"360_6",0.5126312335958
"361_1",0.553641732283464
"361_2",0.569020669291338
"361_3",0.123031496062992
"362_1",0.107174103237095
"362_2",0.114829396325459
"362_3",0.111001749781277
"362_4",0.114829396325459
"362_5",0.107174103237095
"362_6",0.114829396325459
"363_1",0.381055883639544
"363_2",0.355766076115485
"363_3",0.305869969378828
"363_4",0.270327537182851
"363_5",0.316806102362204
"363_6",0.341754155730534
"363_7",0.304161198600174
"363_8",0.310996281714786
"363_9",0.289807524059492
"363_10",0.329792760279964
"365_1",0.317451637989697
"365_2",0.352538397978031
"365_3",0.359639289880432
"365_4",0.336248116554876
"365_5",0.357968491785748
"365_6",0.398903045105474
"365_7",0.36548708321182
"365_8",0.400991542723826
"365_9",0.348779102264996
"366_1",0.2563156167979
"366_2",0.263435495042287
"366_3",0.247771762904637
"366_4",0.273403324584427
"366_5",0.290491032370953
"366_6",0.316122594050743
"366_7",0.242075860309128
"367_1",0.1875
"367_2",0.225
"367_3",0.225
"367_4",0.2175
"367_5",0.220000000000001
"367_6",0.21
"367_7",0.21
"368_1",0.5625
"368_2",0.5625
"368_3",0.681250000000001
"368_4",0.58125
"368_5",0.1125
"368_6",0.4875
"369_1",0.2625
"369_2",0.695625
"369_3",0.735
"369_4",0.883749999999998
"370_1",NA
"370_2",1.1875
"370_3",1.14375
"370_4",1.2875
"370_5",1.0875
"371_1",0.3578125
"371_2",0.4703125
"371_3",NA
"373_1",0.454248231991835
"373_2",0.512061643336251
"373_3",0.619429407261594
"373_4",0.495543525809275
"373_5",0.479025408282299
"374_1",0.332071121318169
"374_2",0.351285299407019
"374_3",0.400991542723826
"374_4",0.357133092738408
"374_5",0.384283561776999
"374_6",0.353373797025372
"374_7",0.390549054632059
"374_8",0.361310087975115
"374_9",0.329982623699816
"376_1",NA
"376_2",NA
"376_3",NA
"376_4",0.251531058617672
"376_5",0.328083989501312
"377_1",0.282421837027316
"377_2",0.453298914892584
"377_3",0.457096183289589
"377_4",0.439059158403812
"377_5",0.346500741226792
"377_6",0.465165378633226
"377_7",0.441432451151939
"377_8",0.265808787790415
"378_1",0.285797608632254
"378_2",0.285797608632254
"378_3",0.296004666083406
"378_4",0.275590551181102
"378_5",0.306211723534558
"379_1",0.381625473899096
"379_2",0.301882837561971
"379_3",0.241126543209876
