Trip code,Lance #,mammal code,Lights,Animal code,Latitude,Longitude,Species,Condition,State,Length,Sex,Young - length,Young - sex,Use,Sample?,Photo #s,Comments,photo link,photo link 2
272,1,153,,,08´36.202,79´11.555,1,1,5,,,,,,FALSE,"25,26",,,
272,1,154,,,08´34.707,79´14.625,1,1,5,,,,,,FALSE,,,,
272,3,155,,oaa-13,08´03.653,79´24.785,1,2,2,215.00,2,,,2,TRUE,4,,,
276,1,164,,gra-41,,,1,1,1,,1,,,2,FALSE,,,,
276,1,165,,gra-42,,,1,1,1,,1,,,2,FALSE,,,,
276,2,163,,,,,,,,,,,,,FALSE,,,,
276,7,166,,gra-43,,,1,1,5,,,,,,FALSE,15,,,
277,7,161,,,,,1,1,5,,,,,,FALSE,,avistado,,
277,10,162,,,,,5,1,5,,,,,,FALSE,,cachalote cerca a la embarcacion,,
281,6,170,,oaa-28,08'52.403,79'20.398,3,2,2,192.00,1,,,1,TRUE,16-17,"Los delfines para venta son guardados en bodega y comercializados enteros en puerto, precio según pescadores: S/ 2.5 - S/ 3 kg",,
281,6,171,,oaa-29,08'52.403,79'20.398,3,2,2,163.00,2,,,1,TRUE,16-17-18,,,
281,7,172,,oaa-32,08'55.835,79'16.943,3,2,2,185.00,1,,,3,TRUE,20-21,Se uso tambien para carnada en bote,,
281,7,173,,oaa-33,08'55.835,79'16.943,3,2,2,197.00,1,,,1,TRUE,22-23,,,
281,9,174,,oaa-40,08'50.800,79'15.497,3,2,2,216.00,1,,,1,TRUE,29,,,
281,9,175,,oaa-42,08'48.912,79'15.705,3,2,2,210.00,1,,,4,TRUE,29,,,
281,9,176,,oaa-43,08'48.912,79'15.705,3,2,2,211.00,1,,,6,TRUE,,,,
281,10,177,,oaa-44,08'29.700,79'11.620,3,2,2,200.00,2,,,4,TRUE,31,,,
281,10,178,,oaa-45,08'27.315,79'12.327,3,2,2,180.00,2,,,4,TRUE,32,,,
281,10,179,,oaa-46,08'27.315,79'12.327,3,2,2,215.00,1,,,4,TRUE,32,,,
281,10,180,,,,,8,2,2,,,,,,FALSE,30,Lobo chusco,,
285,3,183,,gvh-2134,08´40.222,79´07.307,3,2,2,195.00,1,,,1,TRUE,15,,,
