Trip Code,Data entry,Boat name,Observer name,Captain name,Vessel capacity,Vessel length,Lugar de zarpe,. crew,. de matricula,Motor HP,Fecha de zarpe,hora de zarpe,Sistema,Objective species,Objective species 2,Objective species 3,fecha de llegada,hora de llegada,Puerto de llegada,Bait type 1,Bait type 2,Bait type 3,Bait state 1,Bait state 2,Bait state 3,. hooks,Corcho distance,"corcho distance, m or b",hook tipo y tamano,Mainline length,Mainline length units,Mainline material,Mainline thickness,hook depth (branchline length),Branchline material,Branchline thickness,"hook depth, m or b",hook - distance betwen,hook distance units,Use weight,Weight amount,Weigth to hook distance,linea madre/net depth,Net depth category,. panes,Pane 1 .,Net 1 type,Pane size - Length,Pane size - Depth,Pane size - Units,Mesh size,Mesh size - Units,Net depth,Net depth - Units,Pane 2 .,Net 2 type,Pane 2 length,Pane 2 depth,Pane 2 units,Pane 2 water depth,Pane 2 water depth - Units,Pane 2 mesh size,Pane 2 mesh size - units,Pane 3 .,Net 3 type,Pane 3 length,Pane 3 depth,Pane 3 units,Pane 3 water depth,Pane 3 water depth - Units,Pane 3 mesh size,Pane 3 mesh size - units,Mixed - type,Mixed- depth category,mixed - . panes,mixed - pane 1 - length,mixed - pane 1 - height,mixed - pane 1 units,mixed - pane 2 - length,mixed - pane 2 - height,mixed - pane 2 units,mixed - pane 1 mesh size,mixed - pane 1 mesh units,mixed - pane 2 mesh size,mixed - pane 2 mesh units,PS - number floats,PS - distance between floats FROM,PS - distance between floats TO,PS - number leads,PS - distance between leads FROM,PS - distance between leads TO,PS - boliche length,PS - boliche height,PS - material relinga superior,PS - grosor relinga superior,PS - material relinga inferior,PS - grosor relinga inferior,PS - mesh size,PS - ring diameter,Capture species 1,Capture species 2,Capture species 3,Capture species 4,Capture species 5,Capture species 6,Capture species 7,Quantity 1,Quantity 2,Quantity 3,Quantity 4,Quantity 5,Quantity 6,Quantity 7,Quantity Units 1,Quantity Units 2,Quantity Units 3,Quantity Units 4,Quantity Units 5,Quantity Units 6,Quantity Units 7,Cost of operation,Estimada ganacia,Comments
208,,San Miguel 2,MMR,,,,Ilo,3,IO 12389 BM,,11/6/05,1/0/00,manual,lisa voladora,,,11/12/05,1/0/00,Ilo,,,,,,,400,,,"J,C16,C18",,,,,7.5,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lisa voladora,,,,,,,1200,,,,,,,k,,,,,,,,,"Distancia entre anzuelos: 16 bz. J: 200 anzuelos, C16: 110 y C18: 90 anzuelos."
209,,San Miguel 2,MMR,,,,Ilo,4,IO 12389 BM,,12/3/05,1/0/00,manual,perico,,,12/11/05,1/0/00,Ilo,pota,,,fresca,,,640,,,"440 J#, 200 c16",,,,,4,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,1200,,,,,,,k,,,,,,,,,Distancia entre anzuelos: 11 bz
210,,San Miguel 2,MMR,,,,Ilo,4,IO 12389 BM,,12/13/05,1/0/00,manual,perico,,,12/20/05,1/0/00,Ilo,pota,,,fresca,,,400,,,"300 J#3, 100  c16",,,,,4,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,1300,,,,,,,k,,,,,,,,,Distancia entre anzuelos: 11 bz
211,,San Miguel 2,MMR,,,,Ilo,4,IO 12389 BM,,12/24/05,1/0/00,manual,perico,,,12/31/05,1/0/00,Ilo,pota,,,fresca,,,400,,,"300 J #3, 100 c16",,,,,4,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,1050,,,,,,,k,,,,,,,,,Distancia entre anzuelos: 11 bz
212,,Alejandra 1,LCT,,,,Ilo,6,IO 22523 BM,,12/19/05,1/0/00,manual,perico,,,12/24/05,1/0/00,Ilo,pota,,,fresca,,,1150,,,"1050 J, 100 c16",,,,,5,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,azul,,,,,,1900,6,,,,,,k,k,,,,,,,,Distancia entre anzuelos: 10 bz
213,,Alejandra 1,LCT,,,,Ilo,5,IO 22523 BM,,12/9/05,1/0/00,manual,perico,,,12/13/05,1/0/00,Ilo,pota,,,fresca,,,1150,,,"1050 J, 100 c16",,,,,5,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,1900,,,,,,,k,,,,,,,,,Distancia entre anzuelos: 10 bz
214,,Alejandra 1,LCT,,,,Ilo,6,IO 22523 BM,,12/14/05,1/0/00,manual,perico,,,12/18/05,1/0/00,Ilo,pota,,,fresca,,,1150,,,"1050 J, 100, C16",,,,,5,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,320,,,,,,,k,,,,,,,,,Retorno de Emergencia. Distancia entre anzuelos: 10 bz
215,,Juan de Dios,LJM,,,,Ancon,5,IO 21682 BM,,11/24/05,1/0/00,manual,perico,,,12/5/05,1/0/00,Ancon,pota,,,fresca,,,1200,,,"1130 J, 70, C16",,,,,5,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,3500,,,,,,,k,,,,,,,,,Distancia entre anzuelos: 10 bz
216,,Juan de Dios,LJM,,,,Ancon,5,IO 21682 BM,,12/12/05,1/0/00,manual,perico,,,12/24/05,1/0/00,Ancon,pota,,,fresca,,,1200,,,"1130 J, 70 c16",,,,,4,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,4700,,,,,,,k,,,,,,,,,Distancia entre anzuelos: 10 bz
217,,Delfin Azul,GVH,,,,Salaverry,5,SY-021777-BM,,12/11/05,1/0/00,manual,perico,,,12/23/05,1/0/00,Salaverry,pota,,,fresca,,,1000,,,,,,,,3,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,azul,,,,,,2600,10,,,,,,k,i,,,,,,,,Distancia entre anzuelos: 11 bz
218,,Melissa,CPM,,,,Pucusana,8,CO 022067 BM,,12/3/05,,manual,perico,,,12/15/05,,Pucusana,pota,,,fresca,,,1500,,,J #3,,,,,4,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,1396,,,,,,,k,,,,,,,,,Distancia entre anzuelos: 10 bz
219,,San Miguel 2,MMR,,,,Ilo,4,IO 12389 BM,,1/9/06,1/0/00,manual,perico,,,1/18/06,1/0/00,Ilo,pota,,,fresca,,,640,,,"100 c#16, 540 J",,,,,4,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,azul,Diamante,,,,,2115,20,20,,,,,k,k,k,,,,,,,Distancia entre anzuelos: 11 bz
220,,San Miguel 2,MMR,,,,Ilo,4,IO 12389 BM,,1/23/06,1/0/00,manual,perico,,,1/31/06,1/0/00,Ilo,pota,,,fresca,,,640,,,"100 C#16, 540 J",,,,,4,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,1543,,,,,,,k,,,,,,,,,Distancia entre anzuelos: 11 bz
221,,Coquito,GVH,,,,Salaverry,6,SY 2966 BM,,1/3/06,1/0/00,manual,perico,,,1/11/06,1/0/00,Salaverry,pota,,,fresca,,,1000,,,J,,,,,3,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,3000,,,,,,,k,,,,,,,,,Distancia entre anzuelos: 10 bz. Todo lo capturado se arroj„ al mar debido a que la embarcaci„n se empez„ a llenar de agua. Lucharon muy duro para salvar sus vidas.
222,,Martin 1,GVH,,,,Salaverry,4,SY 20226 BM,,11/23/05,1/0/00,red,tiburon,,,12/4/05,1/0/00,Salaverry,,,,,,,,,,,,,,,,,,b,,,,,,superficial,,23,,,50,6,b,8,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raya,azul,Diamante,Martillo,Bonito,,,441,5,2,140,17,,,i,i,i,i,i,,,,,"Tipos mallas: Robalera, bonitera y rayera; 5, 8 , 7.5 y 14"".
Ademˆs se capturaron 17 bonitos y 1 barrilete"
223,,JM,CPM,,,,Chimbote,11,CE 021755 CM,,1/12/06,1/0/00,manual,perico,,,1/21/06,1/0/00,Chimbote,pota,,,fresca,,,1800,,,J #2,,,,,4,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,1172,,,,,,,k,,,,,,,,,Distancia entre anzuelos: 10 bz
224,,Alejandra 1,LCT,,,,Pucusana,5,IO 22523 BM,,1/13/06,1/0/00,manual,perico,,,1/22/06,1/0/00,Ilo,pota,,,fresca,,,1150,,,"100 c#16, 1050 J",,,,,4.5,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,5356,,,,,,,k,,,,,,,,,Distancia entre anzuelos: 10 bz
225,,Martin 1,GVH,,,,Salaverry,5,SY 20226 BM,,1/15/06,1/0/00,red,zorro,,,1/25/06,1/0/00,Salaverry,,,,,,,,,,,,,,,,,,b,,,,,,superficial,,19,,,50,6,b,8.5,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,Zorro,Martillo,Diamante,Merlin Negro,,,800,19,5,3,1,,,k,i,i,i,i,,,,,"Mallas: Robalera 8 y 8.5"", bonitera 10 y 10.5 "", Lenguadero 7.5 "".
La pesca con red se realiza por la zona de los espineleros, estos lugares estˆn llenos de mantas diablo (Ceratobatis robertsii)
Ademˆs se capturaron 30 Tunos medianos y chicos."
226,,Diamante 1,CPM,,,,Chimbote,11,CE 21356 CM,,1/22/06,1/0/00,manual,perico,,,2/1/06,1/0/00,Ilo,pota,caballa,,fresca,congelada,,2000,,,J #2,,,,,4,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos: 10 bz.
227,,Alejandra 1,LCT,,,,Pucusana,5,IO 22523 BM,,1/25/06,1/0/00,manual,perico,,,2/2/06,1/0/00,Pucusana,pota,,,fresca,,,1150,,,J #2,,,,,4.5,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,azul,,,,,,6281,30,,,,,,k,k,,,,,,,,"Distancia en tre anzuelos: 10 bz.
Las tortugas amarillas: LM 607- 608, LM 609- 610, LM 611-612 y LM 613- 614 fueron trabajadas en Pucusana por los miembro de PD."
228,,Hefzi Ba,GVH,,,,Salaverry,4,SY 17590 BM,,1/26/06,1/0/00,red,zorro,,,2/2/06,1/0/00,Salaverry,,,,,,,,,,,,,,,,,,b,,,,,,superficial,,22,,,40,6,b,7.5,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martillo,perico,Bonito,Caballa,Tuno,,,433,250,100,300,24,,,i,k,k,k,i,,,,,"Usan diversos tipos y tama_os de mallas: Robaleras: 8"", boniteras: 4 1/2"", corvinales: 6"", lenguaderas: 7"". 
Dos tama_os de pa_os: 40 y 60 bz. Objetivo cambio a T. martillo.
Capturaron ademas: 28 barriletes, 8 Rayas y 12 mantas que fueron soltadas."
229,,Hefzi Ba,GVH,,,,Salaverry,3,SY 17590 BM,,2/6/06,1/0/00,red,cruceta,,,2/13/06,1/0/00,Salaverry,,,,,,,,,,,,,,,,,,b,,,,,,superficial,,24,,,60,6,b,6,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martillo,bonito,Perico,Pampanito,Chauchilla,,,440,492,1,23,23,,,i,i,i,i,i,,,,,"1ra-7ma cala se usaron 12 redes. 8va-10ma cala usaron 24 redes. Se usaron varios tipos y tama_os de malla: robaleras 8"", boniteras 4 1/2"", corvinales 6"", lenguaderas 7 1/2"". Dos tama_os usados 40 y 60 bz. Caballa capturada fue arrojada al mar."
230,,Alejandra 1,LCT,,,,Pucusana,5,IO 22325 BM,,2/7/06,1/0/00,manual,perico,,,2/17/06,1/0/00,Ilo,pota,,,fresca,,,1150,,,J #2,,,,,4.5,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,diamante,Azul,,,,,1638,44,4,,,,,k,k,k,,,,,,,Distancia entre anzuelos: 10 bz.
231,,San Miguel 2,MMR,,,,Ilo,4,IO 12389 BM,,2/8/06,1/0/00,manual,perico,,,2/10/06,1/0/00,Ilo,pota,,,fresca,,,650,,,"100 c316, 550 J",,,,,4,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,80,,,,,,,k,,,,,,,,,Se regres„ por emergencia. Distancia entre anzuelos: 11 bz.
232,,San Miguel 2,MMR,,,,Ilo,4,IO 12389 BM,,2/14/06,,manual,perico,,,2/22/06,1/0/00,Ilo,pota,,,fresca,,,650,,,"100 C#16, 550 J",,,,,4,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,800,,,,,,,k,,,,,,,,,Distancia entre anzuelos: 11 bz
233,,Don Lucho,GVH,,,,Salaverry,3,PL-22820-BM,,2/20/06,1/0/00,red,cruceta,,,3/1/06,1/0/00,Salaverry,,,,,,,,,,,,,,,,,,b,,,,,,superficial,,22,,,60,7,b,7,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martillo,cazon,Bonito,Perico,Raya,,,1017,11,177,18,23,,,i,i,i,i,i,,,,,"Tambi_n se pesco:20 pampanitos.
Tipos de malla: boniteras 4 y 4.5"", Robaleras 7 y 8""."
234,,San Hilarion 2,ASS,,,,Salaverry,,SY-2366-BM,,3/2/06,,red,,,,3/11/06,,Salaverry,,,,,,,,,,,,,,,,,,b,,,,,,superficial,,22,,,50,7,b,4,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,Don Lucho,GVH,,,,Salaverry,4,PL-22820-BM,,3/7/06,1/0/00,red,cruceta,,,3/16/06,1/0/00,Salaverry,,,,,,,,,,,,,,,,,,b,,,,,,superficial,,22,,,60,7,b,7,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martillo,bonito,Vidrio,Cazon,Azul,,,295,46,10,1,1,,,i,i,i,i,i,,,,,"Tipos de mallas usadas: Boniteras 4 y 4.5 "", Robaleras 7 y 8"".
Pane size: 60 y 70 bz.
Se utilizaron 12 redes boniteras cuando se calo pensando en pescar bonito.
Ademˆs se pesc„ 58 rayas."
236,,Adela I,FBR,,,,Ilo,3,en tramite,,3/12/06,1/0/00,manual,tiburon,,,3/29/06,1/0/00,Ilo,caballa,,,salada,,,850,,,J #1,,,,,9,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,,,,,,450,1150,,,,,,k,k,,,,,,,,Distancia entre anzuelos: 20 bz
237,,Virgen Natividad,LCT,,,,Ilo,5,IO 22780 BM,,3/16/06,1/0/00,manual,tiburon,,,3/28/06,1/0/00,Ilo,caballa,,,salada,,,740,,,J#2,,,,,9,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,,,,,,151,820,,,,,,k,k,,,,,,,,"Distancia entre anzuelos: 16 bz.
Regresaron por fallas mecˆnicas."
238,,Samy,CPM,,,,San Juan de Marcona,8,PS 16668 BM,,3/15/06,1/0/00,manual,bacalao,,,4/2/06,1/0/00,San Juan de Marcona,jurel,jurel,,congelada,salada,,1800,5,b,Circular,,,,,1800,,,b,,,,,,profundidad,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bacalao,quimeras,,,,,,774,132,,,,,,k,i,,,,,,,2312,bacalao 65 individuos
239,,Don Lucho,GVH,,,,Salaverry,5,PL-22820-BM,,3/19/06,1/0/00,red,cruceta,,,3/30/06,1/0/00,Salaverry,,,,,,,,,,,,,,,,,,b,,,,,,superficial,,23,,,60,7,b,7,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martillo,Zonito,Raya,Azul,Diamante,,,559,19,49,1,1,,,i,i,i,i,i,,,,,"Ademas se captur„ un Tib. Vidrio. 
Se usaron redes boniteras 4"" y 4.5"", robaleras 7"" y 8""."
240,,San Hilarion 2,GVH,,,,Salaverry,5,SY 2366 BM,,4/1/06,1/0/00,red,cruceta,,,4/9/06,1/0/00,Salaverry,,,,,,,,,,,,,,,,,,b,,,,,,superficial,,22,,,50,7,b,8,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martillo,raya,Perico,,,,,729,91,3,,,,,i,i,i,,,,,,,"Se usaron redes, boniteras 4.5"", corvinales 8"" y rayeras 12.5 ""."
241,,Virgen de la Puerta,ASS,,,,Salaverry,4,SY 15546 BM,,4/11/06,1/0/00,red,cruceta,,,4/17/06,1/0/00,Salaverry,,,,,,,,,,,,,,,,,,b,,,,,,superficial,,36,,,30,7,b,8,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martillo,bonito,,,,,,1017,43,,,,,,k,k,,,,,,,,"Se usaron: 12 panos de 30bz long, 9 pa_os 45 bz long, 10 pa_os 35 bz long, 6 pa_os 32 bz long.
Redes tolleras 8 "", lenguadera 7"", bonitera 4"", Rayera 10""."
242,,San Hilarion 2,GVH,,,,Salaverry,5,SY 2366 BM,,4/15/06,1/0/00,red,cruceta,,,4/22/06,1/0/00,Salaverry,,,,,,,,,,,,,,,,,,b,,,,,,superficial,,22,,,60,7,b,4,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martillo,cazon,Bonito,Rayas,,,,5,1,12,41,,,,i,i,i,i,,,,,,"Se usaron mallas robalera 7.5"" y bonitera 4 y 4.5""
Se regeso a puerto por fallas de navegador se regreso el mismo dia, con navegador nuevo se fue a la zona de pesca el mismo dia en la tarde (18:15)"
243,,Fortaleza de mi padre,GVH,,,,Salaverry,4,SY 22659 BM,,4/24/06,1/0/00,red,cruceta,,,5/5/06,1/0/00,Salaverry,,,,,,,,,,,,,,,,,,b,,,,,,superficial,,22,,,30,7,B,8,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martillo,raya,Bonito,,,,,340,12,4,,,,,i,i,i,,,,,,,"Se usaron robaleras 8"", corvinales 6"", lenguaderas 7"", boniteras 4"" y rayeras 14"" y 15""."
244,,Fray Martin 2,ASS,,,,Salaverry,3,SY-083454 BM,,5/6/06,1/0/00,red,cruceta,,,5/12/06,1/0/00,Salaverry,,,,,,,,,,,,,,,,,,,,,,,,superficial,,16,,,80,6,b,7,p,7,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raya aguila,martillo,Bonito,,,,,250,10,5,,,,,k,k,k,,,,,,,"Se usaron 2 rayeras (14""), 6 robaleras (7"") y 8 lenguaderas (7"")."
245,,Juan de Dios,LJM,,,,Ilo,4,IO 21682 BM,,3/9/06,1/0/00,manual,tiburon,,,3/24/06,1/0/00,Ilo,caballa,,,salada,,,800,,,"700 J, 100 C16",,,,,8,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,,,,,,300,3000,,,,,,k,k,,,,,,,,Distancia entre anzuelos: 16 bz
246,,Esperanza,GVH,,,,Salaverry,4,SY-3677-BM,,5/7/06,1/0/00,red,cruceta,,,5/16/06,1/0/00,Salaverry,,,,,,,,,,,,,,,,,,b,,,,,,superficial,,18,,,50,6,,7,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martillo,raya,,,,,,270,209,,,,,,i,i,,,,,,,,"Mallas: rayeras 14"", robaleras 8.5"", lenguaderas 7"""
247,,Mi Jesus,GVH,,,,Salaverry,4,25 2275 BM,,5/19/06,1/0/00,red,cruceta,,,5/31/06,1/0/00,Salaverry,,,,,,,,,,,,,,,,,,b,,,,,,superficial,,26,,,50,7,B,6,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martillo,azul,,,,,,89,2,,,,,,i,i,,,,,,,,"Mallas: boniteras 4.5"", robaleras 8.5"", corvinales 6"".
Los delfines que caen en un inicio se guarda para venta a espineleros pero como la pesca fue muy baja se decidio llevar para venta y para comer en casa."
248,,Virgen del Carmen,FBR,,,,Ilo,4,IO-20907-BM,,5/21/06,1/0/00,manual,tiburon,,,6/3/06,1/0/00,Ilo,caballa,,,congelada,,,700,,,J 1,,,,,8,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,,,,,,430,123,,,,,,k,k,,,,,,,,Distancia entre anzuelos: 15 bz
249,,Diego,MPR,,,,Ilo,4,IO 21519-BM,,2/11/06,1/0/00,manual,perico,,,2/19/06,1/0/00,Ilo,pota,lisa,,fresca,fresca,,700,10,b,J #2,,,,,4,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,azul,Diamante,,,,,800,12,16,,,,,k,k,k,,,,,,,
250,,Terranova,LCT,,,,Ilo,5,IO,,5/10/06,1/0/00,manual,tiburon,,,6/1/06,1/0/00,Ilo,caballa,,,salada,,,1200,,,J#2,,,,,9.5,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamante,azul,,,,,,3617,2215,,,,,,k,k,,,,,,,,Dsitancia entre anzuelos: 20 bz
251,,Juan de Dios,LJM,,,,Ilo,4,IO 21682 BM,,5/4/06,1/0/00,manual,tiburon,,,5/31/06,1/0/00,Ilo,,,,,,,900,,,J#2,,,,,8,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamante,azul,,,,,,600,1500,,,,,,k,k,,,,,,,,Distancia entre anzuelos: 16 bz
252,,Emmanuel,MCT,,,,Ilo,5,IO 21998 BM,,5/8/06,1/0/00,manual,tiburon,,,5/30/06,1/0/00,Ilo,caballa,,,salada,,,1200,,,"730 J#2, 470 C18",,,,,8,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,,,,,,3700,2800,,,,,,k,k,,,,,,,,Distancia entre anzuelos: 19 bz
253,,San Miguel 2,MMR,,,,Ilo,3,IO 18389 BM,,5/24/06,1/0/00,manual,tiburon,,,6/4/06,1/0/00,Ilo,pota,caballa,,,,,550,,,"C#18, C#16, J#2",,,,,7,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,,,,,,750,40,70,,,,,k,k,k,,,,,,,"Distancia entre anzuelos: 18 bz, profundidad de anzuelos: 7 bz"
254,,El Mesias,GVH,,,,Salaverry,5,SY 22766 BM,,6/5/06,1/0/00,red,tiburon,,,6/18/06,1/0/00,Supe,,,,,,,,,,,,,,,,,,b,,,,,,superficial,,22,,,30,7,b,8,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martillo,diamante,Azul,,,,,40,21,8,,,,,i,i,i,,,,,,,"Redes Boniteras y robaleras. Long del pano 30 y 50bz
Viaje con muchos problemas, acusticos, mecanicos y de mal tiempo."
255,,Don Victor,MGV,,,,Salaverry,6,PT-17330-BM,,6/9/06,1/0/00,manual,tiburon,,,6/19/06,1/0/00,Salaverry,chancho marino,,,fresca,,,600,,,J#2,,,,,10,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,Martillo,,,,,1600,150,9,,,,,k,k,k,,,,,,,"Distancia entre anzuelos: 22 bz, profundidad: 10 bz.
Todos los delfines fueron capturados antes del primer lance, ademˆs se llev„ como carnada fresca que se compr„ de cortineras en trozos, no se pudo identificar la especie, se compr„ 180 Kg de cetˆceos."
256,,jessica 2,CPM,,,,Callao,8,CO-21719 CM,,6/9/06,1/0/00,manual,tiburon,,,6/28/06,1/0/00,Callao,caballa,,,congelada,,,2000,,,J#01,,,,,8,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,Perico,,,,,1687,1868,550,,,,,k,k,k,,,,,23944,,"Distancia entre anzuelos: 8 y 10 bz. Profundidad del anzuelos: 6, 8 y 10 bz.
No se observaron pajarotes."
257,,Lucio 2,LCT,,,,Ilo,4,IO-21451 BM,,6/10/06,1/0/00,manual,tiburon,,,6/27/06,1/0/00,Ilo,caballa,,,salada,,,1100,,,J#2,,,,,7.5,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,,,,,,3365,365,,,,,,k,k,,,,,,,,Distancia entre anzuelos: 15 bz
258,,Virgen del Carmen,FBR,,,,Ilo,4,IO-20907-BM,,6/11/06,1/0/00,manual,tiburon,,,6/25/06,1/0/00,Ilo,caballa,,,salada,,,750,,,J#1,,,,,9,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,Pez Espada,Zorro,,,,130,458,143,41,,,,k,k,k,k,,,,,,Distancia entre anzuelos: 15 bz
259,,Emmanuel,MCT,,,,Ilo,5,IO 21998 BM,,6/14/06,1/0/00,manual,tiburon,,,7/6/06,1/0/00,Ilo,caballa,,,fresca,,,1200,,,"J#2, C18",,,,,8,,,b,,,,,,superficial,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,,,,,,884,1190,,,,,,k,k,,,,,,,,Distancia entre anzuelos: 19 bz
